FeatureIndex,MatchCount,Variance,MaxDisplacement,AverageDisplacement
1,179,0.0470094,0.86996,0.360338
2,179,0.0470094,0.86996,0.360338
4,179,0.0401078,0.762654,0.331363
12,166,85181.5,549.364,309.342
17,176,7222.96,973.45,10.4784
18,175,132224,979.234,852.899
22,159,0.0872394,1.07331,0.285103
25,164,2602.82,464.494,6.35456
28,179,0.138704,0.983445,0.436896
29,173,0.151729,2.0542,0.806848
44,179,0.0612681,0.682765,0.224618
46,179,0.034854,0.748491,0.162039
51,179,1.99502,4.07993,1.01088
63,163,0.0783146,0.730302,0.303401
64,157,2090.02,574.595,3.9408
72,165,9388.09,665.656,57.1981
78,179,0.03672,0.582401,0.297482
82,168,0.0748539,0.972689,0.385778
86,176,5440.38,207.491,67.9199
87,165,8085.31,277.194,73.8854
88,177,2014.55,555.924,6.84512
91,176,0.0215089,0.567165,0.241337
96,164,5.14087,21.089,0.840586
99,154,0.3385,1.69795,0.537286
100,166,2.30211,19.0764,0.551918
101,166,402.334,259.065,1.83225
103,167,1925.63,300.974,7.18274
105,160,0.180876,1.42744,0.481567
110,179,0.0677228,0.676144,0.237629
113,179,0.038525,0.761428,0.216771
114,164,0.0757749,0.749744,0.292848
120,173,0.153876,0.980866,0.377471
125,159,0.158048,1.48114,0.397871
128,174,135.008,89.3941,1.86641
140,168,47.7066,89.3743,0.985887
143,179,5.68041,32.1118,0.514054
145,172,0.0636401,0.918598,0.452945
150,179,0.0389695,0.783279,0.199771
157,179,0.0880977,0.971855,0.386206
160,160,13022,433.662,32.8558
162,176,0.118417,1.02372,0.354195
169,164,0.105888,1.22792,0.563757
175,174,2026.79,480.824,5.19671
179,169,88.7801,114.307,2.31246
181,167,0.171835,1.42797,0.395061
187,157,0.24672,1.63086,0.574587
196,179,0.0442101,0.582567,0.215057
197,179,0.0462018,0.677479,0.326006
201,174,0.0609358,0.857642,0.305406
205,171,0.057651,0.918572,0.508923
206,179,0.399303,4.42872,0.434108
210,179,0.0507072,0.682199,0.224078
211,157,455.495,212.943,2.61317
219,178,0.0521903,0.724492,0.201066
233,157,6747.57,521.343,13.6506
238,179,0.0481136,0.710329,0.197742
242,171,185.135,178.225,1.32944
248,150,25193.3,378.578,269.396
249,179,0.0578024,0.843698,0.263036
252,171,0.100835,0.814198,0.27726
253,179,0.0678509,0.820094,0.23558
254,177,0.105252,1.13814,0.266513
257,179,0.0477322,0.818418,0.200247
259,162,0.0457601,0.570876,0.278511
261,158,2342.26,433.114,5.66736
262,156,1131.68,398.112,4.39557
